raw,model,price,source,note
SB-1204E (Stroke-150),SB-1204E,15500.0,product_list:market,Spring Buffer
SB-1204E (Stroke-150),SB-1204E,15500.0,product_list:b2b,Spring Buffer
SB-1204F (Stroke-110),SB-1204F,16500.0,product_list:market,Spring Buffer
SB-1204F (Stroke-110),SB-1204F,16500.0,product_list:b2b,Spring Buffer
SB-1204G (Stroke-150),SB-1204G,15800.0,product_list:market,Spring Buffer
SB-1204G (Stroke-150),SB-1204G,15800.0,product_list:b2b,Spring Buffer
AKHG 85-300,AKHG-85-300,31700.0,product_list:market,Hydraulic Buffer
AKHG 85-300,AKHG-85-300,31700.0,product_list:b2b,Hydraulic Buffer
AKHG 85-400,AKHG-85-400,33000.0,product_list:market,Hydraulic Buffer
AKHG 85-400,AKHG-85-400,33000.0,product_list:b2b,Hydraulic Buffer
AKHG 85-500,AKHG-85-500,34500.0,product_list:market,Hydraulic Buffer
AKHG 85-500,AKHG-85-500,34500.0,product_list:b2b,Hydraulic Buffer
AKHG100-50,AKHG-100-50,37700.0,product_list:market,Hydraulic Buffer
AKHG100-50,AKHG-100-50,37700.0,product_list:b2b,Hydraulic Buffer
AKHG100-80,AKHG-100-80,38600.0,product_list:market,Hydraulic Buffer
AKHG100-80,AKHG-100-80,38600.0,product_list:b2b,Hydraulic Buffer
AKHG100-100,AKHG-100-100,38700.0,product_list:market,Hydraulic Buffer
AKHG100-100,AKHG-100-100,38700.0,product_list:b2b,Hydraulic Buffer
AKHG100-120,AKHG-100-120,39500.0,product_list:market,Hydraulic Buffer
AKHG100-120,AKHG-100-120,39500.0,product_list:b2b,Hydraulic Buffer
AKHG100-150,AKHG-100-150,39800.0,product_list:market,Hydraulic Buffer
AKHG100-150,AKHG-100-150,39800.0,product_list:b2b,Hydraulic Buffer
AKHG100-300,AKHG-100-300,43800.0,product_list:market,Hydraulic Buffer
AKHG100-300,AKHG-100-300,43800.0,product_list:b2b,Hydraulic Buffer
AKHG100-400,AKHG-100-400,47300.0,product_list:market,Hydraulic Buffer
AKHG100-400,AKHG-100-400,47300.0,product_list:b2b,Hydraulic Buffer
AKHG100-500,AKHG-100-500,50000.0,product_list:market,Hydraulic Buffer
AKHG100-500,AKHG-100-500,50000.0,product_list:b2b,Hydraulic Buffer
AKHG100-600,AKHG-100-600,52400.0,product_list:market,Hydraulic Buffer
AKHG100-600,AKHG-100-600,52400.0,product_list:b2b,Hydraulic Buffer
AKHG100-800,AKHG-100-800,57300.0,product_list:market,Hydraulic Buffer
AKHG100-800,AKHG-100-800,57300.0,product_list:b2b,Hydraulic Buffer
AKHG 120-100,AKHG-120-100,48200.0,product_list:market,Hydraulic Buffer
AKHG 120-100,AKHG-120-100,48200.0,product_list:b2b,Hydraulic Buffer
AKHG 120-200,AKHG-120-200,54200.0,product_list:market,Hydraulic Buffer
AKHG 120-200,AKHG-120-200,54200.0,product_list:b2b,Hydraulic Buffer
AKHG 120-300,AKHG-120-300,54300.0,product_list:market,Hydraulic Buffer
AKHG 120-300,AKHG-120-300,54300.0,product_list:b2b,Hydraulic Buffer
AKHG 120-400,AKHG-120-400,56700.0,product_list:market,Hydraulic Buffer
AKHG 120-400,AKHG-120-400,56700.0,product_list:b2b,Hydraulic Buffer
AKHG 120-500,AKHG-120-500,59900.0,product_list:market,Hydraulic Buffer
AKHG 120-500,AKHG-120-500,59900.0,product_list:b2b,Hydraulic Buffer
AKHG 120-600,AKHG-120-600,63800.0,product_list:market,Hydraulic Buffer
AKHG 120-600,AKHG-120-600,63800.0,product_list:b2b,Hydraulic Buffer
AKHG 120-800,AKHG-120-800,69400.0,product_list:market,Hydraulic Buffer
AKHG 120-800,AKHG-120-800,69400.0,product_list:b2b,Hydraulic Buffer
AKHG 120-1000,AKHG-120-1000,75300.0,product_list:market,Hydraulic Buffer
AKHG 120-1000,AKHG-120-1000,75300.0,product_list:b2b,Hydraulic Buffer
AKHG 130--100,AKHG-130-100,57500.0,product_list:market,Hydraulic Buffer
AKHG 130--100,AKHG-130-100,57500.0,product_list:b2b,Hydraulic Buffer
AKHG 130--150,AKHG-130-150,57400.0,product_list:market,Hydraulic Buffer
AKHG 130--150,AKHG-130-150,57400.0,product_list:b2b,Hydraulic Buffer
AKHG 130--200,AKHG-130-200,61600.0,product_list:market,Hydraulic Buffer
AKHG 130--200,AKHG-130-200,61600.0,product_list:b2b,Hydraulic Buffer
AKHG 130--300,AKHG-130-300,67200.0,product_list:market,Hydraulic Buffer
AKHG 130--300,AKHG-130-300,67200.0,product_list:b2b,Hydraulic Buffer
AKHG 130--400,AKHG-130-400,73000.0,product_list:market,Hydraulic Buffer
AKHG 130--400,AKHG-130-400,73000.0,product_list:b2b,Hydraulic Buffer
AKHG 130--500,AKHG-130-500,77900.0,product_list:market,Hydraulic Buffer
AKHG 130--500,AKHG-130-500,77900.0,product_list:b2b,Hydraulic Buffer
AKHG 130--600,AKHG-130-600,81200.0,product_list:market,Hydraulic Buffer
AKHG 130--600,AKHG-130-600,81200.0,product_list:b2b,Hydraulic Buffer
AKHG 130--800,AKHG-130-800,95300.0,product_list:market,Hydraulic Buffer
AKHG 130--800,AKHG-130-800,95300.0,product_list:b2b,Hydraulic Buffer
AKHG 130--1000,AKHG-130-1000,105200.0,product_list:market,Hydraulic Buffer
AKHG 130--1000,AKHG-130-1000,105200.0,product_list:b2b,Hydraulic Buffer
AKHG 140--100,AKHG-140-100,58900.0,product_list:market,Hydraulic Buffer
AKHG 140--100,AKHG-140-100,58900.0,product_list:b2b,Hydraulic Buffer
AKHG 140--150,AKHG-140-150,61200.0,product_list:market,Hydraulic Buffer
AKHG 140--150,AKHG-140-150,61200.0,product_list:b2b,Hydraulic Buffer
AKHG 140--200,AKHG-140-200,65800.0,product_list:market,Hydraulic Buffer
AKHG 140--200,AKHG-140-200,65800.0,product_list:b2b,Hydraulic Buffer
AKHG 140--300,AKHG-140-300,72100.0,product_list:market,Hydraulic Buffer
AKHG 140--300,AKHG-140-300,72100.0,product_list:b2b,Hydraulic Buffer
AKHG 140--400,AKHG-140-400,78600.0,product_list:market,Hydraulic Buffer
AKHG 140--400,AKHG-140-400,78600.0,product_list:b2b,Hydraulic Buffer
AKHG 140--500,AKHG-140-500,84200.0,product_list:market,Hydraulic Buffer
AKHG 140--500,AKHG-140-500,84200.0,product_list:b2b,Hydraulic Buffer
AKHG 140--600,AKHG-140-600,90000.0,product_list:market,Hydraulic Buffer
AKHG 140--600,AKHG-140-600,90000.0,product_list:b2b,Hydraulic Buffer
AKHG 140--800,AKHG-140-800,97800.0,product_list:market,Hydraulic Buffer
AKHG 140--800,AKHG-140-800,97800.0,product_list:b2b,Hydraulic Buffer
AKHG 140--1000,AKHG-140-1000,109100.0,product_list:market,Hydraulic Buffer
AKHG 140--1000,AKHG-140-1000,109100.0,product_list:b2b,Hydraulic Buffer
AKHG 65-25,AKHG-65-25,15600.0,product_list:market,Hydraulic Buffer
AKHG 65-25,AKHG-65-25,15600.0,product_list:b2b,Hydraulic Buffer
AKHG 65-75,AKHG-65-75,19800.0,product_list:market,Hydraulic Buffer
AKHG 65-75,AKHG-65-75,19800.0,product_list:b2b,Hydraulic Buffer
AKHG 65-100,AKHG-65-100,21000.0,product_list:market,Hydraulic Buffer
AKHG 65-100,AKHG-65-100,21000.0,product_list:b2b,Hydraulic Buffer
AKHG 65-125,AKHG-65-125,22000.0,product_list:market,Hydraulic Buffer
AKHG 65-125,AKHG-65-125,22000.0,product_list:b2b,Hydraulic Buffer
AKHG 65-150,AKHG-65-150,23100.0,product_list:market,Hydraulic Buffer
AKHG 65-150,AKHG-65-150,23100.0,product_list:b2b,Hydraulic Buffer
AKHG 65-200,AKHG-65-200,24400.0,product_list:market,Hydraulic Buffer
AKHG 65-200,AKHG-65-200,24400.0,product_list:b2b,Hydraulic Buffer
AKHG 85-100,AKHG-85-100,29000.0,product_list:market,Hydraulic Buffer
AKHG 85-100,AKHG-85-100,29000.0,product_list:b2b,Hydraulic Buffer
AKHG 85-200,AKHG-85-200,30400.0,product_list:market,Hydraulic Buffer
AKHG 85-200,AKHG-85-200,30400.0,product_list:b2b,Hydraulic Buffer
AWRI 127-60-8DM WIRE ROPE ISOLATER,AWRI-127-60,25000.0,product_list:market,Wire rope Isolater
AWRI 127-60-8DM WIRE ROPE ISOLATER,AWRI-127-60,7500.0,product_list:b2b,Wire rope Isolater
EM125140M  EVIDGOM,EM125140M-EVIDGOM,16200.0,product_list:market,Anti vibration Products
EM125140M  EVIDGOM,EM125140M-EVIDGOM,14200.0,product_list:b2b,Anti vibration Products
AD 20-15-M THREADING M 20X1.5 STROKE 15MM METALLIC CAP,AD-20-15,2900.0,product_list:market,Industrial Shock Absorbers
AD 20-15-M THREADING M 20X1.5 STROKE 15MM METALLIC CAP,AD-20-15,2900.0,product_list:b2b,Industrial Shock Absorbers
SH 500 RUBBER VIBRATION ISOLATER,SH-500-RUBBER-VIBRATION-ISOLATER,25000.0,product_list:market,Wire rope Isolater
SH 500 RUBBER VIBRATION ISOLATER,SH-500-RUBBER-VIBRATION-ISOLATER,16120.0,product_list:b2b,Wire rope Isolater
AC 20-15-M THREADING M 20 X 1.5 STROKE 17 MM,AC-20-15,2200.0,product_list:market,Industrial Shock Absorbers
AC 20-15-M THREADING M 20 X 1.5 STROKE 17 MM,AC-20-15,1400.0,product_list:b2b,Industrial Shock Absorbers
AC 37-75 M,AC-37-75,6900.0,product_list:market,Industrial Shock Absorbers
AC 37-75 M,AC-37-75,6900.0,product_list:b2b,Industrial Shock Absorbers
AC-42-25,AC-42-25,6600.0,product_list:market,Industrial Shock Absorbers
AC-42-25,AC-42-25,6600.0,product_list:b2b,Industrial Shock Absorbers
AC-42-50,AC-42-50,7800.0,product_list:market,Industrial Shock Absorbers
AC-42-50,AC-42-50,7800.0,product_list:b2b,Industrial Shock Absorbers
AC-42-75,AC-42-75,9000.0,product_list:market,Industrial Shock Absorbers
AC-42-75,AC-42-75,9000.0,product_list:b2b,Industrial Shock Absorbers
TSC-75,TSC-75,11640.0,product_list:market,Industrial Shock Absorbers
TSC-75,TSC-75,11640.0,product_list:b2b,Industrial Shock Absorbers
AD 30-25 M,AD-30-25,4800.0,product_list:market,Industrial Shock Absorbers
AD 30-25 M,AD-30-25,4800.0,product_list:b2b,Industrial Shock Absorbers
AD 33-25 M,AD-33-25,5040.0,product_list:market,Industrial Shock Absorbers
AD 33-25 M,AD-33-25,5040.0,product_list:b2b,Industrial Shock Absorbers
AD 33-25 U,AD-33-25,5280.0,product_list:market,Industrial Shock Absorbers
AD 33-25 U,AD-33-25,5280.0,product_list:b2b,Industrial Shock Absorbers
AD 36-25 M,AD-36-25,5040.0,product_list:market,Industrial Shock Absorbers
AD 36-25 M,AD-36-25,5040.0,product_list:b2b,Industrial Shock Absorbers
AD 37-25 M,AD-37-25,5400.0,product_list:market,Industrial Shock Absorbers
AD 37-25 M,AD-37-25,5400.0,product_list:b2b,Industrial Shock Absorbers
AD 30-50 M,AD-30-50,5400.0,product_list:market,Industrial Shock Absorbers
AD 30-50 M,AD-30-50,5400.0,product_list:b2b,Industrial Shock Absorbers
AD 33-50 M,AD-33-50,5400.0,product_list:market,Industrial Shock Absorbers
AD 33-50 M,AD-33-50,5400.0,product_list:b2b,Industrial Shock Absorbers
AD 36-50 M,AD-36-50,6360.0,product_list:market,Industrial Shock Absorbers
AD 36-50 M,AD-36-50,6360.0,product_list:b2b,Industrial Shock Absorbers
AD 37-50 M,AD-37-50,6960.0,product_list:market,Industrial Shock Absorbers
AD 37-50 M,AD-37-50,6960.0,product_list:b2b,Industrial Shock Absorbers
AD 37-75 M,AD-37-75,7200.0,product_list:market,Industrial Shock Absorbers
AD 37-75 M,AD-37-75,7200.0,product_list:b2b,Industrial Shock Absorbers
YSR-08-08,YSR-08-08,1500.0,product_list:market,Industrial Shock Absorbers
YSR-08-08,YSR-08-08,1500.0,product_list:b2b,Industrial Shock Absorbers
YSR -12-12,YSR-12-12,1800.0,product_list:market,Industrial Shock Absorbers
YSR -12-12,YSR-12-12,1800.0,product_list:b2b,Industrial Shock Absorbers
YSR 16-20,YSR-16-20,2800.0,product_list:market,Industrial Shock Absorbers
YSR 16-20,YSR-16-20,2800.0,product_list:b2b,Industrial Shock Absorbers
YSR 20-25,YSR-20-25,3800.0,product_list:market,Industrial Shock Absorbers
YSR 20-25,YSR-20-25,3800.0,product_list:b2b,Industrial Shock Absorbers
YSR 25-40,YSR-25-40,5500.0,product_list:market,Industrial Shock Absorbers
YSR 25-40,YSR-25-40,5500.0,product_list:b2b,Industrial Shock Absorbers
YSR 32 40,YSR-32-40,6900.0,product_list:market,Industrial Shock Absorbers
YSR 32 40,YSR-32-40,6900.0,product_list:b2b,Industrial Shock Absorbers
AC-10-5-F,AC-10-5,1440.0,product_list:market,Industrial Shock Absorbers
AC-10-5-F,AC-10-5,1440.0,product_list:b2b,Industrial Shock Absorbers
AC-10-8-F,AC-10-8,1440.0,product_list:market,Industrial Shock Absorbers
AC-10-8-F,AC-10-8,1440.0,product_list:b2b,Industrial Shock Absorbers
AC-12-10-F,AC-12-10,1320.0,product_list:market,Industrial Shock Absorbers
AC-12-10-F,AC-12-10,1320.0,product_list:b2b,Industrial Shock Absorbers
AC 14-10-F,AC-14-10,960.0,product_list:market,Industrial Shock Absorbers
AC 14-10-F,AC-14-10,960.0,product_list:b2b,Industrial Shock Absorbers
AC 14-10-M,AC-14-10,960.0,product_list:market,Industrial Shock Absorbers
AC 14-10-M,AC-14-10,960.0,product_list:b2b,Industrial Shock Absorbers
AC 14-10-U,AC-14-10,980.0,product_list:market,Industrial Shock Absorbers
AC 14-10-U,AC-14-10,980.0,product_list:b2b,Industrial Shock Absorbers
AC 16-13 F,AC-16-13,1800.0,product_list:market,Industrial Shock Absorbers
AC 16-13 F,AC-16-13,1800.0,product_list:b2b,Industrial Shock Absorbers
AC 16-13 M,AC-16-13,1600.0,product_list:market,Industrial Shock Absorbers
AC 16-13 M,AC-16-13,1600.0,product_list:b2b,Industrial Shock Absorbers
AC 20-20-M,AC-20-20,2900.0,product_list:market,Industrial Shock Absorbers
AC 20-20-M,AC-20-20,2900.0,product_list:b2b,Industrial Shock Absorbers
AC 20-20 U,AC-20-20,3456.0,product_list:market,Industrial Shock Absorbers
AC 20-20 U,AC-20-20,3456.0,product_list:b2b,Industrial Shock Absorbers
AC 22-20-M,AC-22-20,2765.0,product_list:market,Industrial Shock Absorbers
AC 22-20-M,AC-22-20,2765.0,product_list:b2b,Industrial Shock Absorbers
AC 25-25-M,AC-25-25,3800.0,product_list:market,Industrial Shock Absorbers
AC 25-25-M,AC-25-25,3800.0,product_list:b2b,Industrial Shock Absorbers
AC 25-25 U,AC-25-25,4300.0,product_list:market,Industrial Shock Absorbers
AC 25-25 U,AC-25-25,4300.0,product_list:b2b,Industrial Shock Absorbers
AC 26-25-1.5,AC-26-25,4700.0,product_list:market,Industrial Shock Absorbers
AC 26-25-1.5,AC-26-25,4700.0,product_list:b2b,Industrial Shock Absorbers
AC 25-40 U,AC-25-40,5500.0,product_list:market,Industrial Shock Absorbers
AC 25-40 U,AC-25-40,5500.0,product_list:b2b,Industrial Shock Absorbers
AC 30-25 M,AC-30-25,4600.0,product_list:market,Industrial Shock Absorbers
AC 30-25 M,AC-30-25,4600.0,product_list:b2b,Industrial Shock Absorbers
AC 30-25 M,AC-30-25,4600.0,product_list:market,Industrial Shock Absorbers
AC 30-25 M,AC-30-25,4600.0,product_list:b2b,Industrial Shock Absorbers
AC 33-25 M,AC-33-25,4800.0,product_list:market,Industrial Shock Absorbers
AC 33-25 M,AC-33-25,4800.0,product_list:b2b,Industrial Shock Absorbers
AC 33-25 U,AC-33-25,5000.0,product_list:market,Industrial Shock Absorbers
AC 33-25 U,AC-33-25,5000.0,product_list:b2b,Industrial Shock Absorbers
AC 36-25 M,AC-36-25,4800.0,product_list:market,Industrial Shock Absorbers
AC 36-25 M,AC-36-25,4800.0,product_list:b2b,Industrial Shock Absorbers
AC 37-25 M,AC-37-25,5200.0,product_list:market,Industrial Shock Absorbers
AC 37-25 M,AC-37-25,5200.0,product_list:b2b,Industrial Shock Absorbers
AC 30-50 M,AC-30-50,5200.0,product_list:market,Industrial Shock Absorbers
AC 30-50 M,AC-30-50,5200.0,product_list:b2b,Industrial Shock Absorbers
AC 33-50 M,AC-33-50,5200.0,product_list:market,Industrial Shock Absorbers
AC 33-50 M,AC-33-50,5200.0,product_list:b2b,Industrial Shock Absorbers
AC 36-50 M,AC-36-50,6100.0,product_list:market,Industrial Shock Absorbers
AC 36-50 M,AC-36-50,6100.0,product_list:b2b,Industrial Shock Absorbers
AC 37-50 M,AC-37-50,6600.0,product_list:market,Industrial Shock Absorbers
AC 37-50 M,AC-37-50,6600.0,product_list:b2b,Industrial Shock Absorbers
AD 14-10-F,AD-14-10,1300.0,product_list:market,Industrial Shock Absorbers
AD 14-10-F,AD-14-10,1300.0,product_list:b2b,Industrial Shock Absorbers
AD 14-10-M,AD-14-10,1200.0,product_list:market,Industrial Shock Absorbers
AD 14-10-M,AD-14-10,1200.0,product_list:b2b,Industrial Shock Absorbers
AD 14-10-U,AD-14-10,1200.0,product_list:market,Industrial Shock Absorbers
AD 14-10-U,AD-14-10,1200.0,product_list:b2b,Industrial Shock Absorbers
AD 16-13 F,AD-16-13,2200.0,product_list:market,Industrial Shock Absorbers
AD 16-13 F,AD-16-13,2200.0,product_list:b2b,Industrial Shock Absorbers
AD 16-13 M,AD-16-13,2000.0,product_list:market,Industrial Shock Absorbers
AD 16-13 M,AD-16-13,2000.0,product_list:b2b,Industrial Shock Absorbers
AD 20-20-M,AD-20-20,3100.0,product_list:market,Industrial Shock Absorbers
AD 20-20-M,AD-20-20,3100.0,product_list:b2b,Industrial Shock Absorbers
AD 20-20 U,AD-20-20,3600.0,product_list:market,Industrial Shock Absorbers
AD 20-20 U,AD-20-20,3600.0,product_list:b2b,Industrial Shock Absorbers
AD 22-20-M,AD-22-20,2880.0,product_list:market,Industrial Shock Absorbers
AD 22-20-M,AD-22-20,2880.0,product_list:b2b,Industrial Shock Absorbers
AD 25-25-M,AD-25-25,3960.0,product_list:market,Industrial Shock Absorbers
AD 25-25-M,AD-25-25,3960.0,product_list:b2b,Industrial Shock Absorbers
AD 25-25 U,AD-25-25,4560.0,product_list:market,Industrial Shock Absorbers
AD 25-25 U,AD-25-25,4560.0,product_list:b2b,Industrial Shock Absorbers
AD 26-25-1.5,AD-26-25,4920.0,product_list:market,Industrial Shock Absorbers
AD 26-25-1.5,AD-26-25,4920.0,product_list:b2b,Industrial Shock Absorbers
AD 25-40-1.5,AD-25-40,5400.0,product_list:market,Industrial Shock Absorbers
AD 25-40-1.5,AD-25-40,5400.0,product_list:b2b,Industrial Shock Absorbers
AD 25-40 U,AD-25-40,5760.0,product_list:market,Industrial Shock Absorbers
AD 25-40 U,AD-25-40,5760.0,product_list:b2b,Industrial Shock Absorbers
AD 30-25 M,AD-30-25,4800.0,product_list:market,Industrial Shock Absorbers
AD 30-25 M,AD-30-25,4800.0,product_list:b2b,Industrial Shock Absorbers
JCQ-C-1,JHQ-C-1,739.2,pu_pricelist:inr,
JCQ-C-1,JHQ-C-1,3.5,pu_pricelist:usd,USD
JCQ-C-2,JHQ-C-2,802.56,pu_pricelist:inr,
JCQ-C-2,JHQ-C-2,3.8,pu_pricelist:usd,USD
JCQ-C-3,JHQ-C-3,887.0400000000002,pu_pricelist:inr,
JCQ-C-3,JHQ-C-3,4.2,pu_pricelist:usd,USD
JCQ-C-4,JHQ-C-4,950.4000000000001,pu_pricelist:inr,
JCQ-C-4,JHQ-C-4,4.5,pu_pricelist:usd,USD
JCQ-C-5,JHQ-C-5,992.6400000000002,pu_pricelist:inr,
JCQ-C-5,JHQ-C-5,4.7,pu_pricelist:usd,USD
JCQ-C-6,JHQ-C-6,1056.0,pu_pricelist:inr,
JCQ-C-6,JHQ-C-6,5.0,pu_pricelist:usd,USD
JCQ-C-7,JHQ-C-7,1161.6000000000001,pu_pricelist:inr,
JCQ-C-7,JHQ-C-7,5.5,pu_pricelist:usd,USD
JCQ-C-8,JHQ-C-8,1267.2,pu_pricelist:inr,
JCQ-C-8,JHQ-C-8,6.0,pu_pricelist:usd,USD
JCQ-C-9,JHQ-C-9,1372.8000000000002,pu_pricelist:inr,
JCQ-C-9,JHQ-C-9,6.5,pu_pricelist:usd,USD
",IHO-C-10",JHQ-C-10,1837.44,pu_pricelist:inr,
",IHO-C-10",JHQ-C-10,8.7,pu_pricelist:usd,USD
JCQ-C-11,JHQ-C-11,2027.52,pu_pricelist:inr,
JCQ-C-11,JHQ-C-11,9.6,pu_pricelist:usd,USD
JCQ-C-12,JHQ-C-12,2280.9600000000005,pu_pricelist:inr,
JCQ-C-12,JHQ-C-12,10.8,pu_pricelist:usd,USD
JCQ-C-13,JHQ-C-13,2724.4800000000005,pu_pricelist:inr,
JCQ-C-13,JHQ-C-13,12.9,pu_pricelist:usd,USD
JCQ-C-14,JHQ-C-14,3379.2000000000003,pu_pricelist:inr,
JCQ-C-14,JHQ-C-14,16.0,pu_pricelist:usd,USD
JCQ-C-15,JHQ-C-15,3886.08,pu_pricelist:inr,
JCQ-C-15,JHQ-C-15,18.4,pu_pricelist:usd,USD
JCQ-C-16,JHQ-C-16,6547.200000000001,pu_pricelist:inr,
JCQ-C-16,JHQ-C-16,31.0,pu_pricelist:usd,USD
JCQ-C-17,JHQ-C-17,6969.6,pu_pricelist:inr,
